requests,request-interval,request-popularity,bytes,delivery-time,hit-rate,nodes,contents,label
1,0,1,0,4,1,1,1,0
391,2.729132992,0.99488491,108.1343011,165.8030691,0.969309463,5,229,0
27,2.125888889,1,76.526114,40.85185185,1,1,27,0
1,0,1,0,8,1,1,1,0
9,0.376111111,1,29.6672092,215.3333333,0.888888889,1,9,0
79,260.9742658,1,11.71708119,24.60759494,0.974683544,3,30,0
2,9224.5625,1,0,3.5,1,1,1,0
1,0,1,0,7,1,1,1,0
6,1995.460667,1,19.96370443,187.1666667,0.666666667,2,6,0
16,7.60025,1,978.8415527,672.6875,1,1,16,0
1,0,1,0,2,1,1,1,0
1,0,1,0.2265625,33,0,1,1,0
707,91.14431683,0.997171146,82.93099004,154.7355021,0.992927864,3,216,0
16,1.172875,1,2080.461426,1082.1875,0.9375,1,16,0
167,108.375012,1,5.180582195,27.71856287,0.976047904,4,101,0
1,0,1,0,3,1,1,1,0
95,0.367294737,1,42.59528166,61.16842105,1,2,95,0
70,1.169828571,1,19.87885045,41.77142857,0.985714286,1,68,0
6,821.7015,1,3.895345052,16.5,0.833333333,1,6,0
13058,5.760610888,0.531779506,0.526264441,115.3813316,0.038054613,10,12972,1
9,0.295777778,1,29.6672092,85.11111111,0.888888889,1,9,0
52,267.1478654,0.615384615,546.5042255,105.8076923,0.884615385,5,40,0
1,0,1,21.46875,3,1,1,1,0
3,15221.86333,1,0,3,1,3,1,0
9,0.511444444,1,29.6672092,373.5555556,0.888888889,1,9,0
8,0.648375,1,33.02868652,304.875,1,1,8,0
3,1519.101,1,9.356445313,37.33333333,0,2,1,0
1,0,1,292.5332031,283,1,1,1,0
1,0,1,292.5332031,2712,1,1,1,0
1,0,0.5,408.3017578,2625,1,1,1,0
9,1667.071556,0.888888889,3.512912326,4.222222222,0.777777778,2,9,0
1,0,1,292.5332031,156,1,1,1,0
30,466.6320667,1,71.03072917,172,0.933333333,2,25,0
11,17.14136364,1,2878.117898,5292.181818,1,4,5,0
57,556.0230175,1,643.4860883,340.7017544,0.719298246,3,40,0
4,0.293,1,0.15625,29.25,0.75,1,4,0
9,0.138111111,1,29.6672092,36.44444444,0.888888889,1,9,0
165,136.8714788,1,31.35043797,28.67272727,1,4,115,0
62,269.2662742,1,41.54522114,69.9516129,1,4,35,0
17,2.391470588,1,2005.027344,1530.058824,0.941176471,5,17,0
18,994.0605556,1,14.8336046,131.2222222,0.777777778,4,10,0
6,0.302833333,1,5.221191406,18.83333333,0.666666667,2,6,0
15,1388.0822,1,59.88619792,46,0.866666667,2,15,0
149,198.0658121,1,15.11106596,16.27516779,0.993288591,5,72,0
13201,5.68217968,0.883095094,609.757224,104.1450374,0.975818241,6,577,1
808,22.48661492,0.157288464,2940.16472,1911.00774,0.545850232,2,802,1
1,0,1,0,3,1,1,1,0
2,7289.157,1,0,10,1,2,1,0
10,2.6181,1,42.47949219,13.9,1,1,8,0
78,488.7863333,1,786.5855118,268.6538462,0.897435897,4,27,0
2,1271.892,1,0,2.5,1,2,1,0
9,1.032333333,1,29.6672092,232.8888889,0.888888889,1,9,0
7,2486.458143,1,9.344168527,14,1,3,6,0
12,0.0675,1,0.458821615,39.91666667,0.583333333,1,7,0
1,0,1,21.46875,4,1,1,1,0
1,0,1,0,7,1,1,1,0
15,99.90833333,1,1951.051758,222.9333333,0.933333333,4,6,0
13,2921.203231,1,16.71747296,10.15384615,1,5,11,0
1,0,1,21.46875,65,1,1,1,0
0,0,0,0,0,0,0,0,0
16,1.3938125,1,2050.122559,1034.1875,0.9375,5,16,0
66,0.701772727,1,12.60437382,111.3636364,1,1,66,0
1,0,1,0,6,1,1,1,0
9,0.249777778,1,29.6672092,46.44444444,0.888888889,1,9,0
3,15317.28167,1,0.462890625,5.666666667,1,2,3,0
9,1323.029,1,28.57541233,197.7777778,1,2,8,0
1,0,1,0,3,1,1,1,0
2,0.025,1,174.0693359,660.5,0.5,1,1,0
26,646.3196923,1,1973.952862,331.1153846,0.961538462,3,26,0
1,0,1,366.8847656,1788,1,1,1,0
80,7.6543625,0.94375,626.8479614,436.825,0.9875,2,67,0
1,0,1,291.5830078,3223,1,1,1,0
18,866.7571111,1,29.6672092,51.55555556,0.888888889,1,9,0
2,1.0575,1,9.729492188,18.5,1,1,2,0
3,3665.947,1,7.15625,3,1,3,1,0
111,5.805747748,1,69.08081715,313.3513514,0.990990991,3,102,0
45,0.097511111,1,43.89292535,246.7333333,1,1,45,0
